,0
484428.txt,"['doc 490111.txt is 90.21100707756683 similar', 'doc 489290.txt is 90.21100707756683 similar', 'doc 488763.txt is 90.21100707756683 similar', 'doc 488993.txt is 99.19918100830904 similar', 'doc 484824.txt is 99.90253707885559 similar', 'doc 484577.txt is 90.21100707756683 similar', 'doc 489330.txt is 90.21100707756683 similar', 'doc 485734.txt is 90.21100707756683 similar', 'doc 485052.txt is 90.21100707756683 similar', 'doc 488576.txt is 99.83424350807567 similar', 'doc 485708.txt is 90.21100707756683 similar', 'doc 489718.txt is 90.21100707756683 similar', 'doc 489731.txt is 90.21100707756683 similar', 'doc 484405.txt is 90.21100707756683 similar', 'doc 485243.txt is 99.84665204756126 similar', 'doc 489914.txt is 90.21100707756683 similar', 'doc 484835.txt is 99.11838212464944 similar', 'doc 573.txt is 99.93772966530234 similar', 'doc 489231.txt is 90.21100707756683 similar', 'doc 485437.txt is 99.92263597693137 similar', 'doc 488675.txt is 99.6895913625628 similar', 'doc 485436.txt is 98.82908077065653 similar', 'doc 484933.txt is 90.21100707756683 similar', 'doc 486063.txt is 90.21100707756683 similar', 'doc 485742.txt is 90.21100707756683 similar', 'doc 485024.txt is 90.21100707756683 similar', 'doc 486049.txt is 90.21100707756683 similar', 'doc 488676.txt is 97.59154758755425 similar', 'doc 488475.txt is 90.21100707756683 similar', 'doc 489757.txt is 90.21100707756683 similar', 'doc 489838.txt is 90.21100707756683 similar', 'doc 489578.txt is 90.21100707756683 similar', 'doc 485008.txt is 90.21100707756683 similar', 'doc 489815.txt is 90.21100707756683 similar', 'doc 484300.txt is 99.35914580437523 similar', 'doc 485546.txt is 90.21100707756683 similar', 'doc 628.txt is 99.51621178807183 similar', 'doc 489209.txt is 90.21100707756683 similar', 'doc 485023.txt is 90.21100707756683 similar', 'doc 489827.txt is 90.21100707756683 similar', 'doc 489199.txt is 90.21100707756683 similar', 'doc 485760.txt is 90.21100707756683 similar', 'doc 486054.txt is 99.89319576257006 similar', 'doc 489549.txt is 99.44669361022179 similar', 'doc 485602.txt is 97.17644510032275 similar', 'doc 485776.txt is 99.96153860019413 similar', 'doc 485772.txt is 90.21100707756683 similar', 'doc 488726.txt is 90.21100707756683 similar', 'doc 488719.txt is 90.21100707756683 similar', 'doc 485375.txt is 91.53189696443451 similar', 'doc 489017.txt is 98.85890764259572 similar', 'doc 484718.txt is 92.38408589071214 similar', 'doc 486053.txt is 99.65120446929522 similar', 'doc 485214.txt is 90.21100707756683 similar', 'doc 486084.txt is 90.65664616363912 similar', 'doc 489176.txt is 90.21100707756683 similar', 'doc 489064.txt is 90.21100707756683 similar', 'doc 485312.txt is 91.65853732268022 similar', 'doc 485070.txt is 90.21100707756683 similar', 'doc 489270.txt is 90.21100707756683 similar', 'doc 489516.txt is 99.89476150412916 similar', 'doc 489066.txt is 90.21100707756683 similar', 'doc 485715.txt is 90.21100707756683 similar', 'doc 485088.txt is 90.21100707756683 similar', 'doc 489895.txt is 90.21100707756683 similar', 'doc 484427.txt is 90.21100707756683 similar', 'doc 485102.txt is 90.21100707756683 similar', 'doc 489102.txt is 97.75733223999285 similar', 'doc 484424.txt is 99.65903530488981 similar', 'doc 489539.txt is 90.21100707756683 similar']"
487121.txt,"['doc 14079.txt is 92.19299319879 similar', 'doc 486363.txt is 90.1897858019969 similar', 'doc 303.txt is 100.00000000000003 similar', 'doc 486148.txt is 100.00000000000003 similar', 'doc 14052.txt is 90.74602375068197 similar', 'doc 14668.txt is 100.00000000000003 similar', 'doc 300.txt is 93.71944258789522 similar', 'doc 490339.txt is 90.521730171179 similar', 'doc 487127.txt is 100.00000000000003 similar', 'doc 486359.txt is 90.27307419683603 similar', 'doc 486371.txt is 90.53883421783706 similar', 'doc 15001.txt is 100.00000000000003 similar', 'doc 487247.txt is 100.00000000000003 similar', 'doc 14179.txt is 100.00000000000003 similar', 'doc 486672.txt is 91.36501412291962 similar', 'doc 14802.txt is 100.00000000000003 similar', 'doc 370.txt is 90.211852834664 similar', 'doc 490147.txt is 100.00000000000003 similar', 'doc 487200.txt is 100.00000000000003 similar', 'doc 490146.txt is 100.00000000000003 similar', 'doc 14616.txt is 100.00000000000003 similar', 'doc 15051.txt is 100.00000000000003 similar', 'doc 135.txt is 100.00000000000003 similar', 'doc 490291.txt is 100.00000000000003 similar', 'doc 487129.txt is 90.77269726898939 similar', 'doc 486962.txt is 100.00000000000003 similar', 'doc 13708.txt is 100.00000000000003 similar', 'doc 490292.txt is 100.00000000000003 similar', 'doc 452.txt is 100.00000000000003 similar', 'doc 645.txt is 90.4421512047494 similar', 'doc 324.txt is 100.00000000000003 similar', 'doc 14129.txt is 92.68830759857262 similar', 'doc 486391.txt is 90.52492173404578 similar', 'doc 487925.txt is 100.00000000000003 similar']"
14079.txt,"['doc 487121.txt is 92.19299319879 similar', 'doc 486363.txt is 98.3051703097503 similar', 'doc 487726.txt is 98.28972455357084 similar', 'doc 303.txt is 92.19299319879 similar', 'doc 486148.txt is 92.19299319879 similar', 'doc 488205.txt is 98.5271494263638 similar', 'doc 14052.txt is 98.34091698167158 similar', 'doc 14668.txt is 92.19299319879 similar', 'doc 486412.txt is 98.05622425105153 similar', 'doc 15013.txt is 98.49011784795218 similar', 'doc 490339.txt is 98.68950408970534 similar', 'doc 487127.txt is 92.19299319879 similar', 'doc 486359.txt is 98.6734382402797 similar', 'doc 486371.txt is 98.70815143415423 similar', 'doc 14863.txt is 97.4457204107688 similar', 'doc 488229.txt is 98.44924477922939 similar', 'doc 486616.txt is 97.66360763698381 similar', 'doc 486415.txt is 98.33711922771893 similar', 'doc 15001.txt is 92.19299319879 similar', 'doc 487247.txt is 92.19299319879 similar', 'doc 14179.txt is 92.19299319879 similar', 'doc 486672.txt is 98.64300065144934 similar', 'doc 486878.txt is 98.43869091731277 similar', 'doc 14802.txt is 92.19299319879 similar', 'doc 370.txt is 98.65751140299106 similar', 'doc 488287.txt is 98.2862482230301 similar', 'doc 490147.txt is 92.19299319879 similar', 'doc 487200.txt is 92.19299319879 similar', 'doc 490146.txt is 92.19299319879 similar', 'doc 14616.txt is 92.19299319879 similar', 'doc 15051.txt is 92.19299319879 similar', 'doc 486294.txt is 95.97874554866867 similar', 'doc 15040.txt is 98.64763776210854 similar', 'doc 14138.txt is 98.56567935405737 similar', 'doc 135.txt is 92.19299319879 similar', 'doc 490291.txt is 92.19299319879 similar', 'doc 486380.txt is 98.53593078674116 similar', 'doc 487129.txt is 98.7977086448131 similar', 'doc 486962.txt is 92.19299319879 similar', 'doc 13708.txt is 92.19299319879 similar', 'doc 490292.txt is 92.19299319879 similar', 'doc 452.txt is 92.19299319879 similar', 'doc 488153.txt is 94.73459741535905 similar', 'doc 679.txt is 97.60593120555149 similar', 'doc 645.txt is 97.75970499836798 similar', 'doc 488209.txt is 98.36679568145313 similar', 'doc 641.txt is 90.20186408840252 similar', 'doc 324.txt is 92.19299319879 similar', 'doc 14077.txt is 96.19529854096399 similar', 'doc 490335.txt is 97.07401885456994 similar', 'doc 486391.txt is 98.69298362722628 similar', 'doc 487925.txt is 92.19299319879 similar']"
14737.txt,"['doc 14734.txt is 100.0 similar', 'doc 490258.txt is 92.01415037097645 similar', 'doc 13843.txt is 100.0 similar', 'doc 14740.txt is 100.0 similar', 'doc 14594.txt is 100.0 similar', 'doc 14580.txt is 100.0 similar', 'doc 13830.txt is 100.0 similar', 'doc 13834.txt is 100.0 similar', 'doc 14590.txt is 100.0 similar', 'doc 487972.txt is 100.0 similar', 'doc 487942.txt is 100.0 similar', 'doc 15092.txt is 100.0 similar', 'doc 486394.txt is 100.0 similar', 'doc 685.txt is 100.0 similar', 'doc 487467.txt is 100.0 similar', 'doc 490322.txt is 100.0 similar']"
490111.txt,"['doc 484428.txt is 90.21100707756683 similar', 'doc 489290.txt is 100.0 similar', 'doc 488763.txt is 100.0 similar', 'doc 488993.txt is 91.82810146439347 similar', 'doc 485245.txt is 93.2206283644227 similar', 'doc 484577.txt is 100.0 similar', 'doc 489330.txt is 100.0 similar', 'doc 485734.txt is 100.0 similar', 'doc 485052.txt is 100.0 similar', 'doc 488576.txt is 90.25501962719179 similar', 'doc 485708.txt is 100.0 similar', 'doc 489718.txt is 100.0 similar', 'doc 489731.txt is 100.0 similar', 'doc 484405.txt is 100.0 similar', 'doc 489914.txt is 100.0 similar', 'doc 485478.txt is 90.09830467144482 similar', 'doc 484835.txt is 92.36602178563024 similar', 'doc 485999.txt is 91.11628854714674 similar', 'doc 489231.txt is 100.0 similar', 'doc 488675.txt is 91.66745132603504 similar', 'doc 485436.txt is 90.87618704537185 similar', 'doc 484933.txt is 100.0 similar', 'doc 486063.txt is 100.0 similar', 'doc 489608.txt is 95.99189742199115 similar', 'doc 485742.txt is 100.0 similar', 'doc 485024.txt is 100.0 similar', 'doc 486049.txt is 100.0 similar', 'doc 488676.txt is 90.24069721311729 similar', 'doc 489742.txt is 90.01377257132606 similar', 'doc 488475.txt is 100.0 similar', 'doc 489757.txt is 100.0 similar', 'doc 485569.txt is 91.9782189613227 similar', 'doc 489838.txt is 100.0 similar', 'doc 489790.txt is 93.69882240088381 similar', 'doc 489578.txt is 100.0 similar', 'doc 485008.txt is 100.0 similar', 'doc 489815.txt is 100.0 similar', 'doc 484300.txt is 91.02282237508557 similar', 'doc 485546.txt is 100.0 similar', 'doc 628.txt is 91.5943047096396 similar', 'doc 489209.txt is 100.0 similar', 'doc 485023.txt is 100.0 similar', 'doc 489827.txt is 100.0 similar', 'doc 489199.txt is 100.0 similar', 'doc 485760.txt is 100.0 similar', 'doc 484523.txt is 90.20643284691539 similar', 'doc 486054.txt is 91.9412791815416 similar', 'doc 485772.txt is 100.0 similar', 'doc 488726.txt is 100.0 similar', 'doc 488719.txt is 100.0 similar', 'doc 489017.txt is 92.24571421480937 similar', 'doc 486053.txt is 92.86254603510329 similar', 'doc 485214.txt is 100.0 similar', 'doc 489176.txt is 100.0 similar', 'doc 488526.txt is 90.09830467144482 similar', 'doc 489064.txt is 100.0 similar', 'doc 485070.txt is 100.0 similar', 'doc 489270.txt is 100.0 similar', 'doc 489066.txt is 100.0 similar', 'doc 485715.txt is 100.0 similar', 'doc 485088.txt is 100.0 similar', 'doc 484369.txt is 90.09830467144482 similar', 'doc 489895.txt is 100.0 similar', 'doc 484427.txt is 100.0 similar', 'doc 485102.txt is 100.0 similar', 'doc 489102.txt is 90.49339049553812 similar', 'doc 484424.txt is 90.09662287612012 similar', 'doc 489539.txt is 100.0 similar']"
13925.txt,['doc 14389.txt is 97.45525602015671 similar']
484945.txt,"['doc 487243.txt is 100.00000000000003 similar', 'doc 488164.txt is 100.00000000000003 similar', 'doc 486957.txt is 100.00000000000003 similar', 'doc 486611.txt is 100.00000000000003 similar', 'doc 488674.txt is 100.00000000000003 similar', 'doc 484465.txt is 100.00000000000003 similar', 'doc 489197.txt is 100.00000000000003 similar', 'doc 14589.txt is 100.00000000000003 similar', 'doc 40.txt is 100.00000000000003 similar', 'doc 486910.txt is 100.00000000000003 similar', 'doc 486905.txt is 100.00000000000003 similar', 'doc 486534.txt is 100.00000000000003 similar', 'doc 486480.txt is 100.00000000000003 similar', 'doc 14361.txt is 100.00000000000003 similar', 'doc 13552.txt is 100.00000000000003 similar', 'doc 490078.txt is 100.00000000000003 similar', 'doc 484209.txt is 100.00000000000003 similar', 'doc 488142.txt is 100.00000000000003 similar', 'doc 486958.txt is 100.00000000000003 similar']"
487243.txt,"['doc 484945.txt is 100.00000000000003 similar', 'doc 488164.txt is 100.00000000000003 similar', 'doc 486957.txt is 100.00000000000003 similar', 'doc 486611.txt is 100.00000000000003 similar', 'doc 488674.txt is 100.00000000000003 similar', 'doc 484465.txt is 100.00000000000003 similar', 'doc 489197.txt is 100.00000000000003 similar', 'doc 14589.txt is 100.00000000000003 similar', 'doc 40.txt is 100.00000000000003 similar', 'doc 486910.txt is 100.00000000000003 similar', 'doc 486905.txt is 100.00000000000003 similar', 'doc 486534.txt is 100.00000000000003 similar', 'doc 486480.txt is 100.00000000000003 similar', 'doc 14361.txt is 100.00000000000003 similar', 'doc 13552.txt is 100.00000000000003 similar', 'doc 490078.txt is 100.00000000000003 similar', 'doc 484209.txt is 100.00000000000003 similar', 'doc 488142.txt is 100.00000000000003 similar', 'doc 486958.txt is 100.00000000000003 similar']"
488164.txt,"['doc 484945.txt is 100.00000000000003 similar', 'doc 487243.txt is 100.00000000000003 similar', 'doc 486957.txt is 100.00000000000003 similar', 'doc 486611.txt is 100.00000000000003 similar', 'doc 488674.txt is 100.00000000000003 similar', 'doc 484465.txt is 100.00000000000003 similar', 'doc 489197.txt is 100.00000000000003 similar', 'doc 14589.txt is 100.00000000000003 similar', 'doc 40.txt is 100.00000000000003 similar', 'doc 486910.txt is 100.00000000000003 similar', 'doc 486905.txt is 100.00000000000003 similar', 'doc 486534.txt is 100.00000000000003 similar', 'doc 486480.txt is 100.00000000000003 similar', 'doc 14361.txt is 100.00000000000003 similar', 'doc 13552.txt is 100.00000000000003 similar', 'doc 490078.txt is 100.00000000000003 similar', 'doc 484209.txt is 100.00000000000003 similar', 'doc 488142.txt is 100.00000000000003 similar', 'doc 486958.txt is 100.00000000000003 similar']"
486363.txt,"['doc 487121.txt is 90.1897858019969 similar', 'doc 14079.txt is 98.3051703097503 similar', 'doc 487726.txt is 99.85425275901062 similar', 'doc 303.txt is 90.1897858019969 similar', 'doc 486148.txt is 90.1897858019969 similar', 'doc 488205.txt is 99.67667816358477 similar', 'doc 14052.txt is 99.39864810362612 similar', 'doc 14668.txt is 90.1897858019969 similar', 'doc 486412.txt is 99.71848698624444 similar', 'doc 15013.txt is 99.77180304799214 similar', 'doc 490339.txt is 99.52059653710725 similar', 'doc 487127.txt is 90.1897858019969 similar', 'doc 486359.txt is 99.63524235354741 similar', 'doc 486371.txt is 99.69431081872045 similar', 'doc 14863.txt is 98.49382301488578 similar', 'doc 13881.txt is 90.31772711373294 similar', 'doc 488229.txt is 99.75375691940408 similar', 'doc 486616.txt is 99.38391360247374 similar', 'doc 486415.txt is 99.73702787636637 similar', 'doc 15001.txt is 90.1897858019969 similar', 'doc 487247.txt is 90.1897858019969 similar', 'doc 14179.txt is 90.1897858019969 similar', 'doc 486672.txt is 98.73196407678837 similar', 'doc 486878.txt is 99.7456476682609 similar', 'doc 14802.txt is 90.1897858019969 similar', 'doc 370.txt is 99.62611874978158 similar', 'doc 488287.txt is 99.84999241672423 similar', 'doc 490147.txt is 90.1897858019969 similar', 'doc 487200.txt is 90.1897858019969 similar', 'doc 490146.txt is 90.1897858019969 similar', 'doc 14616.txt is 90.1897858019969 similar', 'doc 15051.txt is 90.1897858019969 similar', 'doc 486294.txt is 97.76943614822436 similar', 'doc 15040.txt is 99.61756555379164 similar', 'doc 488031.txt is 90.13664610709853 similar', 'doc 14138.txt is 99.63439518652302 similar', 'doc 135.txt is 90.1897858019969 similar', 'doc 490291.txt is 90.1897858019969 similar', 'doc 486380.txt is 99.65557561475623 similar', 'doc 487129.txt is 99.63000906826468 similar', 'doc 486962.txt is 90.1897858019969 similar', 'doc 13708.txt is 90.1897858019969 similar', 'doc 490292.txt is 90.1897858019969 similar', 'doc 452.txt is 90.1897858019969 similar', 'doc 488153.txt is 97.21688087000273 similar', 'doc 679.txt is 99.6591181284104 similar', 'doc 645.txt is 99.47245186745704 similar', 'doc 488209.txt is 99.76809827138737 similar', 'doc 641.txt is 92.04758605423585 similar', 'doc 324.txt is 90.1897858019969 similar', 'doc 14077.txt is 97.00602759927988 similar', 'doc 490335.txt is 98.33727587966938 similar', 'doc 486391.txt is 99.5241053768055 similar', 'doc 487925.txt is 90.1897858019969 similar']"
