doc_id,duplicate_doc,similarity_percent
/Users/karthickdurai/Equator/OneDoc/486029.txt,/Users/karthickdurai/Equator/OneDoc/486037.txt,92.0
/Users/karthickdurai/Equator/OneDoc/117.txt,/Users/karthickdurai/Equator/OneDoc/133.txt,95.0
/Users/karthickdurai/Equator/OneDoc/117.txt,/Users/karthickdurai/Equator/OneDoc/130.txt,94.0
/Users/karthickdurai/Equator/OneDoc/487469.txt,/Users/karthickdurai/Equator/OneDoc/487689.txt,95.0
/Users/karthickdurai/Equator/OneDoc/488675.txt,/Users/karthickdurai/Equator/OneDoc/488676.txt,92.0
/Users/karthickdurai/Equator/OneDoc/488674.txt,/Users/karthickdurai/Equator/OneDoc/487154.txt,93.0
/Users/karthickdurai/Equator/OneDoc/484897.txt,/Users/karthickdurai/Equator/OneDoc/484896.txt,95.0
/Users/karthickdurai/Equator/OneDoc/489549.txt,/Users/karthickdurai/Equator/OneDoc/489931.txt,94.0
/Users/karthickdurai/Equator/OneDoc/120.txt,/Users/karthickdurai/Equator/OneDoc/133.txt,95.0
/Users/karthickdurai/Equator/OneDoc/120.txt,/Users/karthickdurai/Equator/OneDoc/130.txt,95.0
/Users/karthickdurai/Equator/OneDoc/123.txt,/Users/karthickdurai/Equator/OneDoc/133.txt,94.0
/Users/karthickdurai/Equator/OneDoc/123.txt,/Users/karthickdurai/Equator/OneDoc/130.txt,95.0
/Users/karthickdurai/Equator/OneDoc/133.txt,/Users/karthickdurai/Equator/OneDoc/126.txt,95.0
/Users/karthickdurai/Equator/OneDoc/126.txt,/Users/karthickdurai/Equator/OneDoc/130.txt,94.0
